err_whole, err1, err2, err3, err4, err5, err6, err7, err8, err9
6.930176561727226063e-03,8.333415396259358926e-03,6.882147966777683000e-03,6.014489896595791134e-03,1.138126157159548985e-02,4.776953226485870438e-03,5.876313151223775018e-03,4.414392116262782009e-03,5.997044084824596985e-03,7.533194833652702427e-03
8.912861568957979042e-03,3.627591730074806921e-03,6.572516972407616703e-03,1.271493669250591506e-02,1.582157517643236963e-02,4.825643279174220319e-03,5.109746203941848731e-03,5.603282417845410410e-03,6.799384005323303760e-03,1.293511265777366574e-02
8.174205434855169594e-03,5.659382975364928708e-03,5.444518790320146753e-03,8.844103924438670439e-03,1.936162691807961217e-02,3.444375680036062572e-03,4.443897165986337994e-03,5.479828711305717408e-03,6.193562728319042775e-03,4.258456446188485338e-03
6.866905454823347792e-03,6.684661233413696085e-03,5.936349673651155311e-03,7.942246033534387101e-03,1.541495746212812913e-02,3.347169900181023137e-03,2.528337487586349193e-03,4.781406656456465773e-03,7.542270195530453164e-03,3.360511654229099334e-03
5.614884749908357307e-03,6.117512964189658099e-03,5.298495167532771798e-03,6.366713060355829248e-03,1.129910566999074717e-02,3.092308320961705773e-03,3.030843929945487882e-03,3.975364884861521189e-03,6.052233387012900638e-03,4.422642694479719458e-03
5.978316004621031868e-03,4.885691038018648291e-03,5.799481583751372321e-03,5.656291219166552885e-03,7.899555655621368772e-03,2.872280385313952678e-03,5.838119560815467970e-03,4.316064927322883944e-03,6.096873238251392622e-03,8.364475015062891594e-03
6.784419684884124106e-03,5.056127330868036632e-03,7.332678703603785937e-03,7.266833410965821589e-03,8.310481902859448433e-03,4.659793467224440308e-03,6.198301132508919446e-03,4.697739977306569260e-03,9.619455070327404336e-03,7.470609667147964927e-03
5.696344215085955009e-03,4.683402759289078364e-03,4.829917179303659137e-03,8.472486574164148077e-03,1.037713789979564406e-02,4.591712229077352971e-03,3.460617656765596368e-03,4.871008577052656982e-03,6.667353093645045706e-03,2.922923626751224718e-03
6.686523593105590454e-03,4.909438556615389540e-03,5.235238995043535980e-03,1.022097994809120607e-02,1.417480911895801186e-02,4.060661995110942564e-03,2.149289343800086897e-03,4.156474601193691464e-03,7.816977591082624813e-03,4.025883889822451898e-03
5.892982019240136995e-03,4.617171540220926795e-03,4.958223338717432024e-03,6.628003939695699225e-03,1.055765904210871631e-02,3.527805457334702837e-03,4.275395266496164956e-03,4.356753839128752262e-03,6.097680817870346388e-03,6.837907939870737500e-03
5.384521203595410248e-03,4.832093571279647698e-03,4.580016782119342503e-03,7.298301093751234300e-03,9.195134114414830681e-03,3.216805571958286387e-03,4.904117727181280841e-03,3.862920386692962529e-03,5.594626236170837340e-03,3.794297006019142510e-03
5.471901733559039402e-03,6.566111800678109227e-03,4.378899728211481032e-03,9.017062755893067924e-03,1.020557416660393922e-02,3.121518194698326681e-03,3.470606942566052764e-03,3.893853802385115886e-03,6.135090054922272620e-03,3.724247031627842246e-03
6.052398123549503593e-03,4.570813378817869393e-03,5.480853261612064417e-03,1.077480899715611146e-02,1.055498101520858413e-02,3.368450078154324422e-03,3.145580711259204996e-03,4.023990037740888398e-03,9.652335659344890920e-03,3.269133797972302406e-03
